SID,DeviceID,ObservationTimestamp,LocalTimestamp,AirTemperature,BarometricPressure,RelativeHumidity
2024-10-18T13:04:57Z_18zua9muwbb,18zua9muwbb,10/18/2024 13:04,10/18/2024 21:04,19.44,1017.46,68.09
2024-10-18T13:20:20Z_18zua9muwbb,18zua9muwbb,10/18/2024 13:20,10/18/2024 21:20,19.29,1017.47,68.91
2024-10-18T13:35:44Z_18zua9muwbb,18zua9muwbb,10/18/2024 13:35,10/18/2024 21:35,19.2,1017.14,69.87
2024-10-18T13:51:16Z_18zua9muwbb,18zua9muwbb,10/18/2024 13:51,10/18/2024 21:51,19.04,1017.07,70.56
2024-10-18T14:06:38Z_18zua9muwbb,18zua9muwbb,10/18/2024 14:06,10/18/2024 22:06,18.94,1017.26,70.69
2024-10-18T14:22:01Z_18zua9muwbb,18zua9muwbb,10/18/2024 14:22,10/18/2024 22:22,18.76,1016.95,72
2024-10-18T14:37:24Z_18zua9muwbb,18zua9muwbb,10/18/2024 14:37,10/18/2024 22:37,18.52,1016.77,72.76
2024-10-18T14:52:55Z_18zua9muwbb,18zua9muwbb,10/18/2024 14:52,10/18/2024 22:52,18.35,1016.59,74.26
2024-10-18T15:08:18Z_18zua9muwbb,18zua9muwbb,10/18/2024 15:08,10/18/2024 23:08,18.34,1016.42,74.2
2024-10-18T15:23:40Z_18zua9muwbb,18zua9muwbb,10/18/2024 15:23,10/18/2024 23:23,18.31,1016.4,77.97
2024-10-18T15:39:03Z_18zua9muwbb,18zua9muwbb,10/18/2024 15:39,10/18/2024 23:39,18.2,1016.45,75.95
2024-10-18T15:54:24Z_18zua9muwbb,18zua9muwbb,10/18/2024 15:54,10/18/2024 23:54,18.12,1016.16,75.74
2024-10-18T16:09:48Z_18zua9muwbb,18zua9muwbb,10/18/2024 16:09,10/19/2024 0:09,18.05,1016.12,76.57
2024-10-18T16:25:10Z_18zua9muwbb,18zua9muwbb,10/18/2024 16:25,10/19/2024 0:25,18,1015.92,77.12
2024-10-18T16:40:33Z_18zua9muwbb,18zua9muwbb,10/18/2024 16:40,10/19/2024 0:40,17.88,1015.91,77.55
2024-10-18T16:56:04Z_18zua9muwbb,18zua9muwbb,10/18/2024 16:56,10/19/2024 0:56,17.81,1015.84,77.77
2024-10-18T17:11:27Z_18zua9muwbb,18zua9muwbb,10/18/2024 17:11,10/19/2024 1:11,17.61,1015.66,78.91
2024-10-18T17:26:49Z_18zua9muwbb,18zua9muwbb,10/18/2024 17:26,10/19/2024 1:26,17.29,1015.33,80.59
2024-10-18T17:42:10Z_18zua9muwbb,18zua9muwbb,10/18/2024 17:42,10/19/2024 1:42,17.23,1015.54,81.46
2024-10-18T17:57:43Z_18zua9muwbb,18zua9muwbb,10/18/2024 17:57,10/19/2024 1:57,17.21,1015.45,81.64
2024-10-18T18:13:08Z_18zua9muwbb,18zua9muwbb,10/18/2024 18:13,10/19/2024 2:13,17.09,1015.23,81.68
2024-10-18T18:28:30Z_18zua9muwbb,18zua9muwbb,10/18/2024 18:28,10/19/2024 2:28,16.98,1015.12,82.45
2024-10-18T18:43:52Z_18zua9muwbb,18zua9muwbb,10/18/2024 18:43,10/19/2024 2:43,16.87,1015.08,82.89
2024-10-18T18:59:15Z_18zua9muwbb,18zua9muwbb,10/18/2024 18:59,10/19/2024 2:59,16.75,1015.1,83.79
2024-10-18T19:14:46Z_18zua9muwbb,18zua9muwbb,10/18/2024 19:14,10/19/2024 3:14,16.7,1014.98,84.18
2024-10-18T19:30:08Z_18zua9muwbb,18zua9muwbb,10/18/2024 19:30,10/19/2024 3:30,16.67,1014.9,84.24
2024-10-18T19:45:53Z_18zua9muwbb,18zua9muwbb,10/18/2024 19:45,10/19/2024 3:45,16.59,1014.98,85.01
2024-10-18T20:16:56Z_18zua9muwbb,18zua9muwbb,10/18/2024 20:16,10/19/2024 4:16,16.37,1014.98,86.75
2024-10-18T20:32:29Z_18zua9muwbb,18zua9muwbb,10/18/2024 20:32,10/19/2024 4:32,16.15,1014.93,88.26
2024-10-18T20:48:01Z_18zua9muwbb,18zua9muwbb,10/18/2024 20:48,10/19/2024 4:48,16.05,1015.18,90.37
2024-10-18T21:03:33Z_18zua9muwbb,18zua9muwbb,10/18/2024 21:03,10/19/2024 5:03,16.07,1015.15,91.05
2024-10-18T21:34:35Z_18zua9muwbb,18zua9muwbb,10/18/2024 21:34,10/19/2024 5:34,16.07,1015.22,90.85
2024-10-18T21:50:14Z_18zua9muwbb,18zua9muwbb,10/18/2024 21:50,10/19/2024 5:50,15.9,1015.17,91.81
2024-10-18T22:05:36Z_18zua9muwbb,18zua9muwbb,10/18/2024 22:05,10/19/2024 6:05,15.86,1015.48,92.43
2024-10-18T22:21:21Z_18zua9muwbb,18zua9muwbb,10/18/2024 22:21,10/19/2024 6:21,15.8,1015.64,93.14
2024-10-18T22:37:15Z_18zua9muwbb,18zua9muwbb,10/18/2024 22:37,10/19/2024 6:37,15.89,1015.9,94.39
2024-10-18T22:52:48Z_18zua9muwbb,18zua9muwbb,10/18/2024 22:52,10/19/2024 6:52,16.06,1015.69,95.8
2024-10-18T23:08:39Z_18zua9muwbb,18zua9muwbb,10/18/2024 23:08,10/19/2024 7:08,16.53,1015.83,95.18
2024-10-18T23:24:02Z_18zua9muwbb,18zua9muwbb,10/18/2024 23:24,10/19/2024 7:24,16.92,1015.6,93.49
2024-10-18T23:39:39Z_18zua9muwbb,18zua9muwbb,10/18/2024 23:39,10/19/2024 7:39,17.37,1015.88,93.64
2024-10-19T00:10:49Z_18zua9muwbb,18zua9muwbb,10/19/2024 0:10,10/19/2024 8:10,18.53,1015.67,87.75
2024-10-19T00:26:13Z_18zua9muwbb,18zua9muwbb,10/19/2024 0:26,10/19/2024 8:26,18.87,1015.86,86.7
2024-10-19T00:42:02Z_18zua9muwbb,18zua9muwbb,10/19/2024 0:42,10/19/2024 8:42,19.2,1015.83,85.51
2024-10-19T00:57:24Z_18zua9muwbb,18zua9muwbb,10/19/2024 0:57,10/19/2024 8:57,19.53,1015.88,84.13
2024-10-19T01:12:56Z_18zua9muwbb,18zua9muwbb,10/19/2024 1:12,10/19/2024 9:12,19.87,1016.08,82.6
2024-10-19T01:28:40Z_18zua9muwbb,18zua9muwbb,10/19/2024 1:28,10/19/2024 9:28,20.27,1015.75,78.65
2024-10-19T01:44:17Z_18zua9muwbb,18zua9muwbb,10/19/2024 1:44,10/19/2024 9:44,20.87,1015.6,75.19
2024-10-19T02:29:31Z_18zua9muwbb,18zua9muwbb,10/19/2024 2:29,10/19/2024 10:29,21.95,1015.55,66.46
2024-10-19T03:00:34Z_18zua9muwbb,18zua9muwbb,10/19/2024 3:00,10/19/2024 11:00,22.59,1015.39,60.71
2024-10-19T03:31:45Z_18zua9muwbb,18zua9muwbb,10/19/2024 3:31,10/19/2024 11:31,23.07,1015.19,61.83
2024-10-19T04:02:57Z_18zua9muwbb,18zua9muwbb,10/19/2024 4:02,10/19/2024 12:02,22.97,1015.16,66.86
2024-10-19T04:18:19Z_18zua9muwbb,18zua9muwbb,10/19/2024 4:18,10/19/2024 12:18,22.94,1015.12,65.52
2024-10-19T04:34:01Z_18zua9muwbb,18zua9muwbb,10/19/2024 4:34,10/19/2024 12:34,23.14,1014.92,61.24
2024-10-19T04:49:25Z_18zua9muwbb,18zua9muwbb,10/19/2024 4:49,10/19/2024 12:49,23.48,1014.94,60.45
2024-10-19T05:04:57Z_18zua9muwbb,18zua9muwbb,10/19/2024 5:04,10/19/2024 13:04,22.98,1014.77,64.36
2024-10-19T05:20:21Z_18zua9muwbb,18zua9muwbb,10/19/2024 5:20,10/19/2024 13:20,22.72,1014.66,65.56
2024-10-19T05:35:43Z_18zua9muwbb,18zua9muwbb,10/19/2024 5:35,10/19/2024 13:35,22.64,1014.67,66.68
2024-10-19T05:51:08Z_18zua9muwbb,18zua9muwbb,10/19/2024 5:51,10/19/2024 13:51,23.15,1014.73,65.43
2024-10-19T06:06:40Z_18zua9muwbb,18zua9muwbb,10/19/2024 6:06,10/19/2024 14:06,23.47,1014.46,64.14
2024-10-19T06:22:02Z_18zua9muwbb,18zua9muwbb,10/19/2024 6:22,10/19/2024 14:22,24.02,1014.17,60.19
2024-10-19T06:37:34Z_18zua9muwbb,18zua9muwbb,10/19/2024 6:37,10/19/2024 14:37,24.2,1014.03,58.55
2024-10-19T06:52:57Z_18zua9muwbb,18zua9muwbb,10/19/2024 6:52,10/19/2024 14:52,24.34,1013.82,57.81
2024-10-19T07:08:19Z_18zua9muwbb,18zua9muwbb,10/19/2024 7:08,10/19/2024 15:08,24.37,1013.88,57.55
2024-10-19T07:23:41Z_18zua9muwbb,18zua9muwbb,10/19/2024 7:23,10/19/2024 15:23,24.01,1013.62,55.65
2024-10-19T07:39:13Z_18zua9muwbb,18zua9muwbb,10/19/2024 7:39,10/19/2024 15:39,24.15,1013.65,57.24
2024-10-19T07:54:35Z_18zua9muwbb,18zua9muwbb,10/19/2024 7:54,10/19/2024 15:54,24.04,1013.43,57.49
2024-10-19T08:09:57Z_18zua9muwbb,18zua9muwbb,10/19/2024 8:09,10/19/2024 16:09,23.62,1013.57,59.93
2024-10-19T08:25:28Z_18zua9muwbb,18zua9muwbb,10/19/2024 8:25,10/19/2024 16:25,23.21,1013.66,63.45
2024-10-19T08:40:51Z_18zua9muwbb,18zua9muwbb,10/19/2024 8:40,10/19/2024 16:40,22.97,1013.74,61.85
2024-10-19T08:56:13Z_18zua9muwbb,18zua9muwbb,10/19/2024 8:56,10/19/2024 16:56,22.54,1013.69,64.16
2024-10-19T09:11:35Z_18zua9muwbb,18zua9muwbb,10/19/2024 9:11,10/19/2024 17:11,22.18,1013.76,66.91
2024-10-19T09:27:06Z_18zua9muwbb,18zua9muwbb,10/19/2024 9:27,10/19/2024 17:27,21.6,1013.67,69.68
2024-10-19T09:42:29Z_18zua9muwbb,18zua9muwbb,10/19/2024 9:42,10/19/2024 17:42,21.51,1013.84,70.78
2024-10-19T09:58:01Z_18zua9muwbb,18zua9muwbb,10/19/2024 9:58,10/19/2024 17:58,21.2,1013.99,72.47
2024-10-19T10:13:24Z_18zua9muwbb,18zua9muwbb,10/19/2024 10:13,10/19/2024 18:13,21.09,1014.04,73.37
2024-10-19T10:28:46Z_18zua9muwbb,18zua9muwbb,10/19/2024 10:28,10/19/2024 18:28,20.9,1014.26,74.72
2024-10-19T10:44:08Z_18zua9muwbb,18zua9muwbb,10/19/2024 10:44,10/19/2024 18:44,20.69,1014.26,76.48
2024-10-19T10:59:31Z_18zua9muwbb,18zua9muwbb,10/19/2024 10:59,10/19/2024 18:59,20.5,1014.24,79.93
2024-10-19T11:14:54Z_18zua9muwbb,18zua9muwbb,10/19/2024 11:14,10/19/2024 19:14,20.25,1014.39,81.04
2024-10-19T11:30:17Z_18zua9muwbb,18zua9muwbb,10/19/2024 11:30,10/19/2024 19:30,20.03,1014.51,83.51
2024-10-19T11:45:40Z_18zua9muwbb,18zua9muwbb,10/19/2024 11:45,10/19/2024 19:45,20.04,1014.22,84.57
2024-10-19T12:01:02Z_18zua9muwbb,18zua9muwbb,10/19/2024 12:01,10/19/2024 20:01,19.87,1014.21,86.14
2024-10-19T12:16:24Z_18zua9muwbb,18zua9muwbb,10/19/2024 12:16,10/19/2024 20:16,19.78,1014.44,88.12
2024-10-19T12:31:56Z_18zua9muwbb,18zua9muwbb,10/19/2024 12:31,10/19/2024 20:31,19.55,1013.82,90.53
2024-10-19T12:47:18Z_18zua9muwbb,18zua9muwbb,10/19/2024 12:47,10/19/2024 20:47,19.45,1014.37,92.08
2024-10-19T13:02:53Z_18zua9muwbb,18zua9muwbb,10/19/2024 13:02,10/19/2024 21:02,19.22,1013.97,94.09
2024-10-19T13:18:15Z_18zua9muwbb,18zua9muwbb,10/19/2024 13:18,10/19/2024 21:18,19.23,1013.8,96.06
2024-10-19T13:33:42Z_18zua9muwbb,18zua9muwbb,10/19/2024 13:33,10/19/2024 21:33,19.07,1013.39,96.42
2024-10-19T13:49:04Z_18zua9muwbb,18zua9muwbb,10/19/2024 13:49,10/19/2024 21:49,19.09,1013.32,96.75
2024-10-19T14:04:26Z_18zua9muwbb,18zua9muwbb,10/19/2024 14:04,10/19/2024 22:04,18.79,1013.13,97.93
2024-10-19T14:19:48Z_18zua9muwbb,18zua9muwbb,10/19/2024 14:19,10/19/2024 22:19,18.76,1013.19,99.14
2024-10-19T14:35:26Z_18zua9muwbb,18zua9muwbb,10/19/2024 14:35,10/19/2024 22:35,18.8,1012.94,98.89
2024-10-19T14:50:48Z_18zua9muwbb,18zua9muwbb,10/19/2024 14:50,10/19/2024 22:50,18.69,1012.67,98.06
2024-10-19T15:06:11Z_18zua9muwbb,18zua9muwbb,10/19/2024 15:06,10/19/2024 23:06,18.59,1012.56,98.21
2024-10-19T15:21:33Z_18zua9muwbb,18zua9muwbb,10/19/2024 15:21,10/19/2024 23:21,18.46,1012.47,99.72
2024-10-19T15:36:55Z_18zua9muwbb,18zua9muwbb,10/19/2024 15:36,10/19/2024 23:36,18.31,1012.51,98.64
2024-10-19T15:52:17Z_18zua9muwbb,18zua9muwbb,10/19/2024 15:52,10/19/2024 23:52,18.21,1012.25,99.42
2024-10-19T16:07:39Z_18zua9muwbb,18zua9muwbb,10/19/2024 16:07,10/20/2024 0:07,18.12,1012.13,100
2024-10-19T16:23:01Z_18zua9muwbb,18zua9muwbb,10/19/2024 16:23,10/20/2024 0:23,18.02,1011.92,100
2024-10-19T16:38:23Z_18zua9muwbb,18zua9muwbb,10/19/2024 16:38,10/20/2024 0:38,17.87,1011.93,99.83
2024-10-19T16:53:45Z_18zua9muwbb,18zua9muwbb,10/19/2024 16:53,10/20/2024 0:53,17.68,1011.74,100
2024-10-19T17:09:07Z_18zua9muwbb,18zua9muwbb,10/19/2024 17:09,10/20/2024 1:09,17.44,1011.57,100
2024-10-19T17:24:39Z_18zua9muwbb,18zua9muwbb,10/19/2024 17:24,10/20/2024 1:24,17.3,1011.67,100
2024-10-19T17:40:01Z_18zua9muwbb,18zua9muwbb,10/19/2024 17:40,10/20/2024 1:40,17.21,1011.67,100
2024-10-19T17:55:33Z_18zua9muwbb,18zua9muwbb,10/19/2024 17:55,10/20/2024 1:55,17.15,1011.31,100
2024-10-19T18:10:55Z_18zua9muwbb,18zua9muwbb,10/19/2024 18:10,10/20/2024 2:10,17.04,1011.24,100
2024-10-19T18:26:18Z_18zua9muwbb,18zua9muwbb,10/19/2024 18:26,10/20/2024 2:26,16.87,1011.03,100
2024-10-19T18:41:43Z_18zua9muwbb,18zua9muwbb,10/19/2024 18:41,10/20/2024 2:41,16.7,1011.06,100
2024-10-19T18:57:15Z_18zua9muwbb,18zua9muwbb,10/19/2024 18:57,10/20/2024 2:57,16.53,1011.13,100
2024-10-19T19:12:37Z_18zua9muwbb,18zua9muwbb,10/19/2024 19:12,10/20/2024 3:12,16.35,1011.13,100
2024-10-19T19:28:02Z_18zua9muwbb,18zua9muwbb,10/19/2024 19:28,10/20/2024 3:28,16.26,1010.74,100
2024-10-19T19:43:25Z_18zua9muwbb,18zua9muwbb,10/19/2024 19:43,10/20/2024 3:43,16.13,1010.65,100
2024-10-19T19:59:09Z_18zua9muwbb,18zua9muwbb,10/19/2024 19:59,10/20/2024 3:59,15.93,1010.54,100
2024-10-19T20:14:40Z_18zua9muwbb,18zua9muwbb,10/19/2024 20:14,10/20/2024 4:14,15.84,1010.39,100
2024-10-19T20:30:03Z_18zua9muwbb,18zua9muwbb,10/19/2024 20:30,10/20/2024 4:30,15.73,1010.46,100
2024-10-19T20:45:28Z_18zua9muwbb,18zua9muwbb,10/19/2024 20:45,10/20/2024 4:45,15.6,1010.65,100
2024-10-19T21:00:50Z_18zua9muwbb,18zua9muwbb,10/19/2024 21:00,10/20/2024 5:00,15.56,1010.76,100
2024-10-19T21:16:12Z_18zua9muwbb,18zua9muwbb,10/19/2024 21:16,10/20/2024 5:16,15.6,1010.85,100
2024-10-19T21:31:44Z_18zua9muwbb,18zua9muwbb,10/19/2024 21:31,10/20/2024 5:31,15.56,1010.87,100
2024-10-19T21:47:07Z_18zua9muwbb,18zua9muwbb,10/19/2024 21:47,10/20/2024 5:47,15.56,1010.93,100
2024-10-19T22:02:29Z_18zua9muwbb,18zua9muwbb,10/19/2024 22:02,10/20/2024 6:02,15.61,1010.91,100
2024-10-19T22:17:51Z_18zua9muwbb,18zua9muwbb,10/19/2024 22:17,10/20/2024 6:17,15.68,1011.4,100
2024-10-19T22:33:27Z_18zua9muwbb,18zua9muwbb,10/19/2024 22:33,10/20/2024 6:33,15.69,1011.21,100
2024-10-19T22:48:50Z_18zua9muwbb,18zua9muwbb,10/19/2024 22:48,10/20/2024 6:48,15.72,1010.86,100
2024-10-19T23:04:12Z_18zua9muwbb,18zua9muwbb,10/19/2024 23:04,10/20/2024 7:04,15.84,1010.74,100
2024-10-19T23:19:34Z_18zua9muwbb,18zua9muwbb,10/19/2024 23:19,10/20/2024 7:19,16,1010.9,100
2024-10-19T23:35:25Z_18zua9muwbb,18zua9muwbb,10/19/2024 23:35,10/20/2024 7:35,16.18,1010.76,100
2024-10-19T23:50:48Z_18zua9muwbb,18zua9muwbb,10/19/2024 23:50,10/20/2024 7:50,16.2,1010.72,100
2024-10-20T00:06:23Z_18zua9muwbb,18zua9muwbb,10/20/2024 0:06,10/20/2024 8:06,16.38,1010.57,100
2024-10-20T00:21:46Z_18zua9muwbb,18zua9muwbb,10/20/2024 0:21,10/20/2024 8:21,16.79,1010.52,100
2024-10-20T00:37:35Z_18zua9muwbb,18zua9muwbb,10/20/2024 0:37,10/20/2024 8:37,17.43,1010.33,100
2024-10-20T00:53:07Z_18zua9muwbb,18zua9muwbb,10/20/2024 0:53,10/20/2024 8:53,18.04,1010.36,100
2024-10-20T01:08:56Z_18zua9muwbb,18zua9muwbb,10/20/2024 1:08,10/20/2024 9:08,18.6,1010.06,100
2024-10-20T01:24:29Z_18zua9muwbb,18zua9muwbb,10/20/2024 1:24,10/20/2024 9:24,19.12,1010.09,100
2024-10-20T01:39:52Z_18zua9muwbb,18zua9muwbb,10/20/2024 1:39,10/20/2024 9:39,19.89,1010.05,92.74
2024-10-20T01:55:43Z_18zua9muwbb,18zua9muwbb,10/20/2024 1:55,10/20/2024 9:55,20.65,1010.16,84.15
2024-10-20T02:27:06Z_18zua9muwbb,18zua9muwbb,10/20/2024 2:27,10/20/2024 10:27,21.12,1009.89,78.07
2024-10-20T02:29:15Z_18zua9muwbb,18zua9muwbb,10/20/2024 2:29,10/20/2024 10:29,21.19,1009.78,78.56
2024-10-20T02:45:06Z_18zua9muwbb,18zua9muwbb,10/20/2024 2:45,10/20/2024 10:45,21.54,1009,75.96
2024-10-20T03:00:50Z_18zua9muwbb,18zua9muwbb,10/20/2024 3:00,10/20/2024 11:00,21.86,1008.73,73.69
2024-10-20T03:16:23Z_18zua9muwbb,18zua9muwbb,10/20/2024 3:16,10/20/2024 11:16,22.2,1008.99,72.63
2024-10-20T03:32:10Z_18zua9muwbb,18zua9muwbb,10/20/2024 3:32,10/20/2024 11:32,22.62,1009.37,70.37
2024-10-20T03:47:35Z_18zua9muwbb,18zua9muwbb,10/20/2024 3:47,10/20/2024 11:47,22.61,1008.96,71.46
2024-10-20T04:03:19Z_18zua9muwbb,18zua9muwbb,10/20/2024 4:03,10/20/2024 12:03,22.56,1008.91,72.22
2024-10-20T04:18:47Z_18zua9muwbb,18zua9muwbb,10/20/2024 4:18,10/20/2024 12:18,22.8,1008.6,73.34
2024-10-20T04:34:10Z_18zua9muwbb,18zua9muwbb,10/20/2024 4:34,10/20/2024 12:34,23.11,1008.54,71.19
2024-10-20T04:49:32Z_18zua9muwbb,18zua9muwbb,10/20/2024 4:49,10/20/2024 12:49,23.2,1008.24,69.95
2024-10-20T05:04:54Z_18zua9muwbb,18zua9muwbb,10/20/2024 5:04,10/20/2024 13:04,22.82,1008.19,72.92
2024-10-20T05:20:27Z_18zua9muwbb,18zua9muwbb,10/20/2024 5:20,10/20/2024 13:20,22.34,1008.18,76.26
2024-10-20T05:35:49Z_18zua9muwbb,18zua9muwbb,10/20/2024 5:35,10/20/2024 13:35,22.03,1008.36,85.3
2024-10-20T05:51:11Z_18zua9muwbb,18zua9muwbb,10/20/2024 5:51,10/20/2024 13:51,20.95,1008.5,100
2024-10-20T06:06:43Z_18zua9muwbb,18zua9muwbb,10/20/2024 6:06,10/20/2024 14:06,20.29,1008.35,100
2024-10-20T06:22:07Z_18zua9muwbb,18zua9muwbb,10/20/2024 6:22,10/20/2024 14:22,20.53,1008.32,100
2024-10-20T06:37:39Z_18zua9muwbb,18zua9muwbb,10/20/2024 6:37,10/20/2024 14:37,20.61,1008.01,100
2024-10-20T06:53:01Z_18zua9muwbb,18zua9muwbb,10/20/2024 6:53,10/20/2024 14:53,20.62,1007.88,100
2024-10-20T07:08:23Z_18zua9muwbb,18zua9muwbb,10/20/2024 7:08,10/20/2024 15:08,20.6,1007.88,100
2024-10-20T07:23:45Z_18zua9muwbb,18zua9muwbb,10/20/2024 7:23,10/20/2024 15:23,20.31,1007.59,100
2024-10-20T07:39:18Z_18zua9muwbb,18zua9muwbb,10/20/2024 7:39,10/20/2024 15:39,20.14,1008.44,100
