"SID","DeviceID","ObservationTimestamp","LocalTimestamp","AirTemperature","BarometricPressure","RelativeHumidity","Hour","PredictedTemperature","Residuals"
"2024-10-18T04:34:04Z_18zua9muwbb","18zua9muwbb","10/18/2024 4:34",2024-10-18 12:34:00,22.72,1017.19,56.7,12,22.297736000424,0.422263999576046
"2024-10-18T04:49:26Z_18zua9muwbb","18zua9muwbb","10/18/2024 4:49",2024-10-18 12:49:00,22.22,1017.14,58.29,12,22.0994990445599,0.120500955440104
"2024-10-18T05:04:48Z_18zua9muwbb","18zua9muwbb","10/18/2024 5:04",2024-10-18 13:04:00,22.43,1017.09,56.11,13,22.4224418228173,0.00755817718270535
"2024-10-18T05:20:12Z_18zua9muwbb","18zua9muwbb","10/18/2024 5:20",2024-10-18 13:20:00,22.54,1016.96,54.98,13,22.6347419498825,-0.0947419498825433
"2024-10-18T05:35:35Z_18zua9muwbb","18zua9muwbb","10/18/2024 5:35",2024-10-18 13:35:00,22.9,1016.85,53.27,13,22.9185951974603,-0.0185951974603498
"2024-10-18T05:51:14Z_18zua9muwbb","18zua9muwbb","10/18/2024 5:51",2024-10-18 13:51:00,23.02,1016.94,52.81,13,22.94335972296,0.076640277040017
"2024-10-18T06:06:37Z_18zua9muwbb","18zua9muwbb","10/18/2024 6:06",2024-10-18 14:06:00,23.09,1016.84,52.24,14,23.0653006661273,0.0246993338727286
"2024-10-18T06:21:58Z_18zua9muwbb","18zua9muwbb","10/18/2024 6:21",2024-10-18 14:21:00,23.17,1016.78,51.2,14,23.2349595170189,-0.0649595170188633
"2024-10-18T06:37:20Z_18zua9muwbb","18zua9muwbb","10/18/2024 6:37",2024-10-18 14:37:00,23.44,1016.66,51.78,14,23.2065482817294,0.233451718270576
"2024-10-18T06:52:52Z_18zua9muwbb","18zua9muwbb","10/18/2024 6:52",2024-10-18 14:52:00,23.44,1016.62,51.27,14,23.2943094560845,0.145690543915535
"2024-10-18T07:08:14Z_18zua9muwbb","18zua9muwbb","10/18/2024 7:08",2024-10-18 15:08:00,23.79,1016.45,51.23,15,23.373180419416,0.416819580584029
"2024-10-18T07:23:36Z_18zua9muwbb","18zua9muwbb","10/18/2024 7:23",2024-10-18 15:23:00,23.88,1016.5,51.13,15,23.365433872935,0.514566127064988
"2024-10-18T07:39:21Z_18zua9muwbb","18zua9muwbb","10/18/2024 7:39",2024-10-18 15:39:00,23.72,1016.61,52.13,15,23.1797338378841,0.540266162115923
"2024-10-18T07:54:53Z_18zua9muwbb","18zua9muwbb","10/18/2024 7:54",2024-10-18 15:54:00,23.94,1016.67,52.45,15,23.1096106391325,0.830389360867535
"2024-10-18T08:10:18Z_18zua9muwbb","18zua9muwbb","10/18/2024 8:10",2024-10-18 16:10:00,23.68,1016.52,54.25,16,22.9254843366173,0.754515663382673
"2024-10-18T08:25:40Z_18zua9muwbb","18zua9muwbb","10/18/2024 8:25",2024-10-18 16:25:00,22.84,1016.6,54.69,16,22.8301434854644,0.009856514535592
"2024-10-18T08:41:18Z_18zua9muwbb","18zua9muwbb","10/18/2024 8:41",2024-10-18 16:41:00,23.44,1016.74,52.09,16,23.1291791455462,0.310820854453791
"2024-10-18T08:56:40Z_18zua9muwbb","18zua9muwbb","10/18/2024 8:56",2024-10-18 16:56:00,23.71,1016.79,51.99,16,23.1214325990652,0.588567400934807
"2024-10-18T09:12:25Z_18zua9muwbb","18zua9muwbb","10/18/2024 9:12",2024-10-18 17:12:00,23.36,1016.93,51.39,17,23.1439803365361,0.216019663463854
"2024-10-18T09:27:49Z_18zua9muwbb","18zua9muwbb","10/18/2024 9:27",2024-10-18 17:27:00,22.86,1016.95,52.28,17,23.0123148339296,-0.152314833929573
"2024-10-18T09:43:21Z_18zua9muwbb","18zua9muwbb","10/18/2024 9:43",2024-10-18 17:43:00,22.28,1017,56.42,17,22.4184138915135,-0.13841389151348
"2024-10-18T09:59:06Z_18zua9muwbb","18zua9muwbb","10/18/2024 9:59",2024-10-18 17:59:00,21.95,1017.11,55.47,17,22.5022895810082,-0.552289581008186
"2024-10-18T10:15:08Z_18zua9muwbb","18zua9muwbb","10/18/2024 10:15",2024-10-18 18:15:00,21.3,1017.03,56.36,18,22.4137659636248,-1.11376596362485
"2024-10-18T10:30:31Z_18zua9muwbb","18zua9muwbb","10/18/2024 10:30",2024-10-18 18:30:00,20.8,1017.03,58.63,18,22.0999521714615,-1.29995217146146
"2024-10-18T10:45:53Z_18zua9muwbb","18zua9muwbb","10/18/2024 10:45",2024-10-18 18:45:00,20.54,1017,59.45,18,21.9995346887579,-1.45953468875795
"2024-10-18T11:01:25Z_18zua9muwbb","18zua9muwbb","10/18/2024 11:01",2024-10-18 19:01:00,20.34,1017.09,60.1,19,21.8708484172085,-1.53084841720852
"2024-10-18T11:16:47Z_18zua9muwbb","18zua9muwbb","10/18/2024 11:16",2024-10-18 19:16:00,20.22,1017.01,63.68,19,21.4104485439135,-1.19044854391351
"2024-10-18T11:32:19Z_18zua9muwbb","18zua9muwbb","10/18/2024 11:32",2024-10-18 19:32:00,20.01,1017.04,62.79,19,21.5205431039085,-1.51054310390846
"2024-10-18T11:47:41Z_18zua9muwbb","18zua9muwbb","10/18/2024 11:47",2024-10-18 19:47:00,19.93,1017.14,62.75,19,21.4829309771376,-1.55293097713756
"2024-10-18T12:03:03Z_18zua9muwbb","18zua9muwbb","10/18/2024 12:03",2024-10-18 20:03:00,19.87,1017.27,63.4,20,21.3369879514989,-1.46698795149893
"2024-10-18T12:18:25Z_18zua9muwbb","18zua9muwbb","10/18/2024 12:18",2024-10-18 20:18:00,19.8,1017.19,64.78,20,21.1807247930759,-1.38072479307586
"2024-10-18T12:34:03Z_18zua9muwbb","18zua9muwbb","10/18/2024 12:34",2024-10-18 20:34:00,19.67,1017.25,66.55,20,20.9101478504313,-1.24014785043134
"2024-10-18T12:49:35Z_18zua9muwbb","18zua9muwbb","10/18/2024 12:49",2024-10-18 20:49:00,19.5,1017.47,67.25,20,20.7184649300266,-1.21846493002662
"2024-10-18T13:04:57Z_18zua9muwbb","18zua9muwbb","10/18/2024 13:04",2024-10-18 21:04:00,19.44,1017.46,68.09,21,20.6066541910523,-1.16665419105234
"2024-10-18T13:20:20Z_18zua9muwbb","18zua9muwbb","10/18/2024 13:20",2024-10-18 21:20:00,19.29,1017.47,68.91,21,20.4889799542596,-1.19897995425957
"2024-10-18T13:35:44Z_18zua9muwbb","18zua9muwbb","10/18/2024 13:35",2024-10-18 21:35:00,19.2,1017.14,69.87,21,20.4986339726427,-1.29863397264271
"2024-10-18T13:51:16Z_18zua9muwbb","18zua9muwbb","10/18/2024 13:51",2024-10-18 21:51:00,19.04,1017.07,70.56,21,20.4334449589981,-1.39344495899811
"2024-10-18T14:06:38Z_18zua9muwbb","18zua9muwbb","10/18/2024 14:06",2024-10-18 22:06:00,18.94,1017.26,70.69,22,20.3335036621045,-1.39350366210445
"2024-10-18T14:22:01Z_18zua9muwbb","18zua9muwbb","10/18/2024 14:22",2024-10-18 22:22:00,18.76,1016.95,72,22,20.286143916986,-1.52614391698597
"2024-10-18T14:37:24Z_18zua9muwbb","18zua9muwbb","10/18/2024 14:37",2024-10-18 22:37:00,18.52,1016.77,72.76,22,20.2587338997955,-1.73873389979552
"2024-10-18T14:52:55Z_18zua9muwbb","18zua9muwbb","10/18/2024 14:52",2024-10-18 22:52:00,18.35,1016.59,74.26,22,20.1290233512389,-1.77902335123892
"2024-10-18T15:08:18Z_18zua9muwbb","18zua9muwbb","10/18/2024 15:08",2024-10-18 23:08:00,18.34,1016.42,74.2,23,20.2106591937967,-1.87065919379665
"2024-10-18T15:23:40Z_18zua9muwbb","18zua9muwbb","10/18/2024 15:23",2024-10-18 23:23:00,18.31,1016.4,77.97,23,19.6981078367197,-1.38810783671968
"2024-10-18T15:39:03Z_18zua9muwbb","18zua9muwbb","10/18/2024 15:39",2024-10-18 23:39:00,18.2,1016.45,75.95,23,19.9557896959451,-1.75578969594509
"2024-10-18T15:54:24Z_18zua9muwbb","18zua9muwbb","10/18/2024 15:54",2024-10-18 23:54:00,18.12,1016.16,75.74,23,20.1099323949664,-1.98993239496635
"2024-10-18T16:09:48Z_18zua9muwbb","18zua9muwbb","10/18/2024 16:09",2024-10-19 00:09:00,18.05,1016.12,76.57,0,20.0124466611721,-1.96244666117208
"2024-10-18T16:25:10Z_18zua9muwbb","18zua9muwbb","10/18/2024 16:25",2024-10-19 00:25:00,18,1015.92,77.12,0,20.0226962529004,-2.02269625290038
"2024-10-18T16:40:33Z_18zua9muwbb","18zua9muwbb","10/18/2024 16:40",2024-10-19 00:40:00,17.88,1015.91,77.55,0,19.9675655380613,-2.08756553806134
"2024-10-18T16:56:04Z_18zua9muwbb","18zua9muwbb","10/18/2024 16:56",2024-10-19 00:56:00,17.81,1015.84,77.77,0,19.9673511862303,-2.1573511862303
"2024-10-18T17:11:27Z_18zua9muwbb","18zua9muwbb","10/18/2024 17:11",2024-10-19 01:11:00,17.61,1015.66,78.91,1,19.8874084637437,-2.27740846374372
"2024-10-18T17:26:49Z_18zua9muwbb","18zua9muwbb","10/18/2024 17:26",2024-10-19 01:26:00,17.29,1015.33,80.59,1,19.7975268299869,-2.50752682998688
"2024-10-18T17:42:10Z_18zua9muwbb","18zua9muwbb","10/18/2024 17:42",2024-10-19 01:42:00,17.23,1015.54,81.46,1,19.5866566246826,-2.35665662468259
"2024-10-18T17:57:43Z_18zua9muwbb","18zua9muwbb","10/18/2024 17:57",2024-10-19 01:57:00,17.21,1015.45,81.64,1,19.6006004083484,-2.39060040834837
"2024-10-18T18:13:08Z_18zua9muwbb","18zua9muwbb","10/18/2024 18:13",2024-10-19 02:13:00,17.09,1015.23,81.68,2,19.6899827973871,-2.59998279738705
"2024-10-18T18:28:30Z_18zua9muwbb","18zua9muwbb","10/18/2024 18:28",2024-10-19 02:28:00,16.98,1015.12,82.45,2,19.6309910209273,-2.65099102092733
"2024-10-18T18:43:52Z_18zua9muwbb","18zua9muwbb","10/18/2024 18:43",2024-10-19 02:43:00,16.87,1015.08,82.89,2,19.5874204320421,-2.71742043204213
"2024-10-18T18:59:15Z_18zua9muwbb","18zua9muwbb","10/18/2024 18:59",2024-10-19 02:59:00,16.75,1015.1,83.79,2,19.4543724898226,-2.70437248982262
"2024-10-18T19:14:46Z_18zua9muwbb","18zua9muwbb","10/18/2024 19:14",2024-10-19 03:14:00,16.7,1014.98,84.18,3,19.4522276071813,-2.75222760718127
"2024-10-18T19:30:08Z_18zua9muwbb","18zua9muwbb","10/18/2024 19:30",2024-10-19 03:30:00,16.67,1014.9,84.24,3,19.4784464776815,-2.80844647768146
"2024-10-18T19:45:53Z_18zua9muwbb","18zua9muwbb","10/18/2024 19:45",2024-10-19 03:45:00,16.59,1014.98,85.01,3,19.3374851192977,-2.74748511929775
"2024-10-18T20:16:56Z_18zua9muwbb","18zua9muwbb","10/18/2024 20:16",2024-10-19 04:16:00,16.37,1014.98,86.75,4,19.0969406266262,-2.72694062662625
"2024-10-18T20:32:29Z_18zua9muwbb","18zua9muwbb","10/18/2024 20:32",2024-10-19 04:32:00,16.15,1014.93,88.26,4,18.9097631876666,-2.75976318766657
"2024-10-18T20:48:01Z_18zua9muwbb","18zua9muwbb","10/18/2024 20:48",2024-10-19 04:48:00,16.05,1015.18,90.37,4,18.5102137162543,-2.46021371625426
"2024-10-18T21:03:33Z_18zua9muwbb","18zua9muwbb","10/18/2024 21:03",2024-10-19 05:03:00,16.07,1015.15,91.05,5,18.4291503881334,-2.35915038813345
"2024-10-18T21:34:35Z_18zua9muwbb","18zua9muwbb","10/18/2024 21:34",2024-10-19 05:34:00,16.07,1015.22,90.85,5,18.4265998607383,-2.35659986073832
"2024-10-18T21:50:14Z_18zua9muwbb","18zua9muwbb","10/18/2024 21:50",2024-10-19 05:50:00,15.9,1015.17,91.81,5,18.3154566004967,-2.41545660049669
"2024-10-18T22:05:36Z_18zua9muwbb","18zua9muwbb","10/18/2024 22:05",2024-10-19 06:05:00,15.86,1015.48,92.43,6,18.0960055002956,-2.23600550029559
"2024-10-18T22:21:21Z_18zua9muwbb","18zua9muwbb","10/18/2024 22:21",2024-10-19 06:21:00,15.8,1015.64,93.14,6,17.9288252714117,-2.12882527141173
"2024-10-18T22:37:15Z_18zua9muwbb","18zua9muwbb","10/18/2024 22:37",2024-10-19 06:37:00,15.89,1015.9,94.39,6,17.6438514181998,-1.75385141819975
"2024-10-18T22:52:48Z_18zua9muwbb","18zua9muwbb","10/18/2024 22:52",2024-10-19 06:52:00,16.06,1015.69,95.8,6,17.5395253917276,-1.4795253917276
"2024-10-18T23:08:39Z_18zua9muwbb","18zua9muwbb","10/18/2024 23:08",2024-10-19 07:08:00,16.53,1015.83,95.18,7,17.5648380084246,-1.0348380084246
"2024-10-18T23:24:02Z_18zua9muwbb","18zua9muwbb","10/18/2024 23:24",2024-10-19 07:24:00,16.92,1015.6,93.49,7,17.897696639044,-0.977696639044026
"2024-10-18T23:39:39Z_18zua9muwbb","18zua9muwbb","10/18/2024 23:39",2024-10-19 07:39:00,17.37,1015.88,93.64,7,17.7561627662234,-0.386162766223446
"2024-10-19T00:10:49Z_18zua9muwbb","18zua9muwbb","10/19/2024 0:10",2024-10-19 08:10:00,18.53,1015.67,87.75,8,18.6610176572812,-0.131017657281184
"2024-10-19T00:26:13Z_18zua9muwbb","18zua9muwbb","10/19/2024 0:26",2024-10-19 08:26:00,18.87,1015.86,86.7,8,18.7242042347279,0.145795765272087
"2024-10-19T00:42:02Z_18zua9muwbb","18zua9muwbb","10/19/2024 0:42",2024-10-19 08:42:00,19.2,1015.83,85.51,8,18.9016571142484,0.298342885751634
"2024-10-19T00:57:24Z_18zua9muwbb","18zua9muwbb","10/19/2024 0:57",2024-10-19 08:57:00,19.53,1015.88,84.13,8,19.0708628382383,0.459137161761664
"2024-10-19T01:12:56Z_18zua9muwbb","18zua9muwbb","10/19/2024 1:12",2024-10-19 09:12:00,19.87,1016.08,82.6,9,19.1960923285894,0.673907671410614
"2024-10-19T01:28:40Z_18zua9muwbb","18zua9muwbb","10/19/2024 1:28",2024-10-19 09:28:00,20.27,1015.75,78.65,9,19.8845241969823,0.38547580301768
"2024-10-19T01:44:17Z_18zua9muwbb","18zua9muwbb","10/19/2024 1:44",2024-10-19 09:44:00,20.87,1015.6,75.19,9,20.4275611309339,0.44243886906612
"2024-10-19T02:29:31Z_18zua9muwbb","18zua9muwbb","10/19/2024 2:29",2024-10-19 10:29:00,21.95,1015.55,66.46,10,21.6560018557421,0.293998144257866
"2024-10-19T03:00:34Z_18zua9muwbb","18zua9muwbb","10/19/2024 3:00",2024-10-19 11:00:00,22.59,1015.39,60.71,11,22.5199316496055,0.0700683503945072
"2024-10-19T03:31:45Z_18zua9muwbb","18zua9muwbb","10/19/2024 3:31",2024-10-19 11:31:00,23.07,1015.19,61.83,11,22.4513821833896,0.618617816610374
"2024-10-19T04:02:57Z_18zua9muwbb","18zua9muwbb","10/19/2024 4:02",2024-10-19 12:02:00,22.97,1015.16,66.86,12,21.7689576235901,1.20104237640986
"2024-10-19T04:18:19Z_18zua9muwbb","18zua9muwbb","10/19/2024 4:18",2024-10-19 12:18:00,22.94,1015.12,65.52,12,21.9714612858287,0.968538714171292
"2024-10-19T04:34:01Z_18zua9muwbb","18zua9muwbb","10/19/2024 4:34",2024-10-19 12:34:00,23.14,1014.92,61.24,12,22.6494292106624,0.490570789337639
"2024-10-19T04:49:25Z_18zua9muwbb","18zua9muwbb","10/19/2024 4:49",2024-10-19 12:49:00,23.48,1014.94,60.45,12,22.750013563049,0.729986436951041
"2024-10-19T05:04:57Z_18zua9muwbb","18zua9muwbb","10/19/2024 5:04",2024-10-19 13:04:00,22.98,1014.77,64.36,13,22.282820879224,0.697179120775978
"2024-10-19T05:20:21Z_18zua9muwbb","18zua9muwbb","10/19/2024 5:20",2024-10-19 13:20:00,22.72,1014.66,65.56,13,22.1643841994029,0.555615800597103
"2024-10-19T05:35:43Z_18zua9muwbb","18zua9muwbb","10/19/2024 5:35",2024-10-19 13:35:00,22.64,1014.67,66.68,13,22.0052367742185,0.634763225781519
"2024-10-19T05:51:08Z_18zua9muwbb","18zua9muwbb","10/19/2024 5:51",2024-10-19 13:51:00,23.15,1014.73,65.43,13,22.1521565947164,0.997843405283611
"2024-10-19T06:06:40Z_18zua9muwbb","18zua9muwbb","10/19/2024 6:06",2024-10-19 14:06:00,23.47,1014.46,64.14,14,22.4469743949029,1.02302560509711
"2024-10-19T06:22:02Z_18zua9muwbb","18zua9muwbb","10/19/2024 6:22",2024-10-19 14:22:00,24.02,1014.17,60.19,14,23.1181495092066,0.901850490793436
"2024-10-19T06:37:34Z_18zua9muwbb","18zua9muwbb","10/19/2024 6:37",2024-10-19 14:37:00,24.2,1014.03,58.55,14,23.4052682450599,0.794731754940106
"2024-10-19T06:52:57Z_18zua9muwbb","18zua9muwbb","10/19/2024 6:52",2024-10-19 14:52:00,24.34,1013.82,57.81,14,23.5981667353945,0.741833264605525
"2024-10-19T07:08:19Z_18zua9muwbb","18zua9muwbb","10/19/2024 7:08",2024-10-19 15:08:00,24.37,1013.88,57.55,15,23.6082250342,0.761774965799969
"2024-10-19T07:23:41Z_18zua9muwbb","18zua9muwbb","10/19/2024 7:23",2024-10-19 15:23:00,24.01,1013.62,55.65,15,23.9830574622606,0.0269425377394406
"2024-10-19T07:39:13Z_18zua9muwbb","18zua9muwbb","10/19/2024 7:39",2024-10-19 15:39:00,24.15,1013.65,57.24,15,23.7503069982179,0.399693001782072
"2024-10-19T07:54:35Z_18zua9muwbb","18zua9muwbb","10/19/2024 7:54",2024-10-19 15:54:00,24.04,1013.43,57.49,15,23.8106581553825,0.229341844617537
"2024-10-19T08:09:57Z_18zua9muwbb","18zua9muwbb","10/19/2024 8:09",2024-10-19 16:09:00,23.62,1013.57,59.93,16,23.4129442504847,0.207055749515288
"2024-10-19T08:25:28Z_18zua9muwbb","18zua9muwbb","10/19/2024 8:25",2024-10-19 16:25:00,23.21,1013.66,63.45,16,22.8874978099887,0.32250219001126
"2024-10-19T08:40:51Z_18zua9muwbb","18zua9muwbb","10/19/2024 8:40",2024-10-19 16:40:00,22.97,1013.74,61.85,16,23.0741746398989,-0.10417463989895
"2024-10-19T08:56:13Z_18zua9muwbb","18zua9muwbb","10/19/2024 8:56",2024-10-19 16:56:00,22.54,1013.69,64.16,16,22.7764020318949,-0.236402031894912
"2024-10-19T09:11:35Z_18zua9muwbb","18zua9muwbb","10/19/2024 9:11",2024-10-19 17:11:00,22.18,1013.76,66.91,17,22.3660318186487,-0.186031818648743
"2024-10-19T09:27:06Z_18zua9muwbb","18zua9muwbb","10/19/2024 9:27",2024-10-19 17:27:00,21.6,1013.67,69.68,17,22.0219237425334,-0.421923742533444
"2024-10-19T09:42:29Z_18zua9muwbb","18zua9muwbb","10/19/2024 9:42",2024-10-19 17:42:00,21.51,1013.84,70.78,17,21.7965141802181,-0.286514180218102
"2024-10-19T09:58:01Z_18zua9muwbb","18zua9muwbb","10/19/2024 9:58",2024-10-19 17:58:00,21.2,1013.99,72.47,17,21.4981690577772,-0.298169057777198
"2024-10-19T10:13:24Z_18zua9muwbb","18zua9muwbb","10/19/2024 10:13",2024-10-19 18:13:00,21.09,1014.04,73.37,18,21.3521785499907,-0.262178549990725
"2024-10-19T10:28:46Z_18zua9muwbb","18zua9muwbb","10/19/2024 10:28",2024-10-19 18:28:00,20.9,1014.26,74.72,18,21.0706370547375,-0.170637054737462
"2024-10-19T10:44:08Z_18zua9muwbb","18zua9muwbb","10/19/2024 10:44",2024-10-19 18:44:00,20.69,1014.26,76.48,18,20.8273276828399,-0.137327682839857
"2024-10-19T10:59:31Z_18zua9muwbb","18zua9muwbb","10/19/2024 10:59",2024-10-19 18:59:00,20.5,1014.24,79.93,18,20.3590143933806,0.140985606619367
"2024-10-19T11:14:54Z_18zua9muwbb","18zua9muwbb","10/19/2024 11:14",2024-10-19 19:14:00,20.25,1014.39,81.04,19,20.1408507684969,0.109149231503107
"2024-10-19T11:30:17Z_18zua9muwbb","18zua9muwbb","10/19/2024 11:30",2024-10-19 19:30:00,20.03,1014.51,83.51,19,19.7476179218046,0.282382078195369
"2024-10-19T11:45:40Z_18zua9muwbb","18zua9muwbb","10/19/2024 11:45",2024-10-19 19:45:00,20.04,1014.22,84.57,19,19.7261907899679,0.313809210032083
"2024-10-19T12:01:02Z_18zua9muwbb","18zua9muwbb","10/19/2024 12:01",2024-10-19 20:01:00,19.87,1014.21,86.14,20,19.5134619592407,0.356538040759293
"2024-10-19T12:16:24Z_18zua9muwbb","18zua9muwbb","10/19/2024 12:16",2024-10-19 20:16:00,19.78,1014.44,88.12,20,19.1405125798426,0.639487420157359
"2024-10-19T12:31:56Z_18zua9muwbb","18zua9muwbb","10/19/2024 12:31",2024-10-19 20:31:00,19.55,1013.82,90.53,20,19.0748243214799,0.475175678520063
"2024-10-19T12:47:18Z_18zua9muwbb","18zua9muwbb","10/19/2024 12:47",2024-10-19 20:47:00,19.45,1014.37,92.08,20,18.6232658127293,0.826734187270741
"2024-10-19T13:02:53Z_18zua9muwbb","18zua9muwbb","10/19/2024 13:02",2024-10-19 21:02:00,19.22,1013.97,94.09,21,18.5179629913978,0.702037008602169
"2024-10-19T13:18:15Z_18zua9muwbb","18zua9muwbb","10/19/2024 13:18",2024-10-19 21:18:00,19.23,1013.8,96.06,21,18.3189635925054,0.911036407494574
"2024-10-19T13:33:42Z_18zua9muwbb","18zua9muwbb","10/19/2024 13:33",2024-10-19 21:33:00,19.07,1013.39,96.42,21,18.4460774958503,0.623922504149697
"2024-10-19T13:49:04Z_18zua9muwbb","18zua9muwbb","10/19/2024 13:49",2024-10-19 21:49:00,19.09,1013.32,96.75,21,18.4306563082757,0.659343691724334
"2024-10-19T14:04:26Z_18zua9muwbb","18zua9muwbb","10/19/2024 14:04",2024-10-19 22:04:00,18.79,1013.13,97.93,22,18.3494980158592,0.440501984140774
"2024-10-19T14:19:48Z_18zua9muwbb","18zua9muwbb","10/19/2024 14:19",2024-10-19 22:19:00,18.76,1013.19,99.14,22,18.1563376915457,0.603662308454293
"2024-10-19T14:35:26Z_18zua9muwbb","18zua9muwbb","10/19/2024 14:35",2024-10-19 22:35:00,18.8,1012.94,98.89,22,18.2987533949299,0.501246605070126
"2024-10-19T14:50:48Z_18zua9muwbb","18zua9muwbb","10/19/2024 14:50",2024-10-19 22:50:00,18.69,1012.67,98.06,22,18.5299789729159,0.160021027084078
"2024-10-19T15:06:11Z_18zua9muwbb","18zua9muwbb","10/19/2024 15:06",2024-10-19 23:06:00,18.59,1012.56,98.21,23,18.5566984524655,0.0333015475344709
"2024-10-19T15:21:33Z_18zua9muwbb","18zua9muwbb","10/19/2024 15:21",2024-10-19 23:21:00,18.46,1012.47,99.72,23,18.3867777675951,0.0732222324048912
"2024-10-19T15:36:55Z_18zua9muwbb","18zua9muwbb","10/19/2024 15:36",2024-10-19 23:36:00,18.31,1012.51,98.64,23,18.5188244917157,-0.208824491715742
"2024-10-19T15:52:17Z_18zua9muwbb","18zua9muwbb","10/19/2024 15:52",2024-10-19 23:52:00,18.21,1012.25,99.42,23,18.5231631034776,-0.313163103477649
"2024-10-19T16:07:39Z_18zua9muwbb","18zua9muwbb","10/19/2024 16:07",2024-10-20 00:07:00,18.12,1012.13,100,0,18.4947518681882,-0.374751868188206
"2024-10-19T16:23:01Z_18zua9muwbb","18zua9muwbb","10/19/2024 16:23",2024-10-20 00:23:00,18.02,1011.92,100,0,18.5853498271568,-0.565349827156808
"2024-10-19T16:38:23Z_18zua9muwbb","18zua9muwbb","10/19/2024 16:38",2024-10-20 00:38:00,17.87,1011.93,99.83,0,18.6045371120564,-0.734537112056433
"2024-10-19T16:53:45Z_18zua9muwbb","18zua9muwbb","10/19/2024 16:53",2024-10-20 00:53:00,17.68,1011.74,100,0,18.6630052205584,-0.98300522055845
"2024-10-19T17:09:07Z_18zua9muwbb","18zua9muwbb","10/19/2024 17:09",2024-10-20 01:09:00,17.44,1011.57,100,1,18.7363464254377,-1.29634642543773
"2024-10-19T17:24:39Z_18zua9muwbb","18zua9muwbb","10/19/2024 17:24",2024-10-20 01:24:00,17.3,1011.67,100,1,18.6932045402147,-1.39320454021467
"2024-10-19T17:40:01Z_18zua9muwbb","18zua9muwbb","10/19/2024 17:40",2024-10-20 01:40:00,17.21,1011.67,100,1,18.6932045402147,-1.48320454021467
"2024-10-19T17:55:33Z_18zua9muwbb","18zua9muwbb","10/19/2024 17:55",2024-10-20 01:55:00,17.15,1011.31,100,1,18.848515327018,-1.69851532701795
"2024-10-19T18:10:55Z_18zua9muwbb","18zua9muwbb","10/19/2024 18:10",2024-10-20 02:10:00,17.04,1011.24,100,2,18.8787146466741,-1.83871464667412
"2024-10-19T18:26:18Z_18zua9muwbb","18zua9muwbb","10/19/2024 18:26",2024-10-20 02:26:00,16.87,1011.03,100,2,18.9693126056427,-2.09931260564272
"2024-10-19T18:41:43Z_18zua9muwbb","18zua9muwbb","10/19/2024 18:41",2024-10-20 02:41:00,16.7,1011.06,100,2,18.9563700400758,-2.25637004007576
